SpeciesBROAD	BodyMass_kg	zvalues
Carlito_syrichta	0.13	-0.467345411788567
Cacajao_calvus	3.17	-0.164365207122066
Cacajao_melanocephalus	2.94	-0.187288051554071
Chiropotes_albinasus	2.82	-0.199247796475117
Chiropotes_sagulatus	3	-0.181308179093548
Pithecia_chrysocephala	1.9	-0.290939174203137
Pithecia_albicans	3	-0.181308179093548
Plecturocebus_caligatus	1	-0.380637261110983
Plecturocebus_brunneus	0.83	-0.397580233082464
Plecturocebus_cupreus	1.07	-0.373660743240372
Plecturocebus_bernhardi	0.95	-0.385620488161418
Plecturocebus_moloch	0.99	-0.38163390652107
Plecturocebus_hoffmansi	1.06	-0.37465738865046
Plecturocebus_miltoni	1.34	-0.346751317168019
Plecturocebus_cinerascens	0.74	-0.406550041773249
Cheracebus_lugens	1.37	-0.343761380937757
Cheracebus_lucifer	1.5	-0.330804990606624
Cheracebus_torquatus	1.25	-0.355721125858803
Cheracebus_regulus	1.25	-0.355721125858803
Alouatta_palliata	6.12	0.12964518885365
Alouatta_caraya	5.38	0.055893428507199
Alouatta_seniculus	6.01	0.118682089342691
Alouatta_nigerrima	6.45	0.162534487386526
Alouatta_macconnelli	6.37	0.154561324105829
Alouatta_belzebul	6.4	0.157551260336091
Alouatta_discolor	6.37	0.154561324105829
Lagothrix_lagotricha	7.15	0.232299666092629
Ateles_geoffroyi	7.54	0.271168837086028
Ateles_paniscus	8.28	0.344920597432479
Ateles_belzebuth	8.07	0.323991043820648
Ateles_marginatus	6.96	0.213363403300972
Ateles_chamek	9.37	0.453554947131981
Cebus_olivaceus	2.88	-0.193267924014594
Cebus_unicolor	2.74	-0.207220959755814
Cebus_albifrons	2.74	-0.207220959755814
Sapajus_macrocephalus	3.05	-0.176324952043112
Sapajus_apella	3.01	-0.180311533683461
Saimiri_oerstedii	0.79	-0.401566814722813
Saimiri_ustus	0.86	-0.394590296852203
Saimiri_sciureus	0.82	-0.398576878492552
Saimiri_macrodon	0.99	-0.38163390652107
Saimiri_cassiquiarensis	0.88	-0.392597006032029
Callimico_goeldii	0.48	-0.432462822435516
Cebuella_pygmaea	0.12	-0.468342057198654
Callibella_humilis	0.12	-0.468342057198654
Mico_humeralifer	0.42	-0.438442694896039
Mico_argentatus	0.35	-0.445419212766649
Callithrix_geoffroyi	0.24	-0.456382312277608
Callithrix_kuhlii	0.38	-0.442429276536387
Callithrix_jacchus	0.32	-0.44840914899691
Leontopithecus_chrysomelas	0.58	-0.422496368334644
Leontopithecus_rosalia	0.64	-0.416516495874121
Saguinus_oedipus	0.41	-0.439439340306126
Saguinus_geoffroyi	0.49	-0.431466177025428
Saguinus_bicolor	0.43	-0.437446049485951
Saguinus_midas	0.56	-0.424489659154818
Saguinus_imperator	0.47	-0.433459467845603
Saguinus_inustus	0.69	-0.411533268823685
Saguinus_mystax	0.53	-0.42747959538508
Saguinus_labiatus	0.51	-0.429472886205254
Leontocebus_nigricollis	0.48	-0.432462822435516
Leontocebus_illigeri	0.29	-0.451399085227172
Leontocebus_fuscicolis	0.33	-0.447412503586823
Aotus_vociferans	0.7	-0.410536623413598
Aotus_griseimembra	0.51	-0.429472886205254
