nome_famiglia	contrast_type	specie_con_valore_alto	specie_con_valore_basso	valore_specie_con_valore_alto	valore_specie_con_valore_basso	nu
Cercopithecidae	CONTROL	Papio_anubis	Chlorocebus_pygerythrus	16.65	4.665	0.867386742413347
Cercopithecidae	CONTROL	Theropithecus_gelada	Cercopithecus_hamlyni	15.35	4.43	0.866240126860617
Cercopithecidae	CONTROL	Mandrillus_sphinx	Macaca_tonkeana	23.6	11.95	0.86512801216804
Cercopithecidae	CONTROL	Theropithecus_gelada	Cercopithecus_petaurista	15.35	3.65	0.86473763640764
Cercopithecidae	CONTROL	Papio_ursinus	Trachypithecus_obscurus	22.3	6.99	0.864162308337737
Cercopithecidae	CONTROL	Papio_papio	Allochrocebus_preussi	17.5	4.525	0.864058358098433
Cercopithecidae	CONTROL	Papio_anubis	Cercopithecus_mona	16.65	4.05	0.864031377881428
Cercopithecidae	CONTROL	Papio_ursinus	Trachypithecus_cristatus	22.3	6.25	0.863496090742945
Cercopithecidae	CONTROL	Macaca_thibetana	Cercopithecus_hamlyni	15.55	4.43	0.863341871317827
Cercopithecidae	CONTROL	Papio_anubis	Macaca_cyclopis	16.65	5.47	0.862496309968005
Cercopithecidae	CONTROL	Papio_ursinus	Trachypithecus_crepusculus	22.3	6.65	0.861783078765136
Cercopithecidae	CONTROL	Semnopithecus_schistaceus	Trachypithecus_phayrei	17	7.44	0.861566563097452
Cercopithecidae	CONTROL	Papio_cynocephalus	Cercopithecus_neglectus	17.05	5.74	0.861359024663513
Cercopithecidae	CONTROL	Papio_ursinus	Presbytis_comata	22.3	6.7	0.860915681577625
Cercopithecidae	CONTROL	Mandrillus_sphinx	Colobus_angolensis	23.6	8.6	0.860459845098158
Cercopithecidae	CONTROL	Theropithecus_gelada	Cercopithecus_cephus	15.35	3.48	0.859782708278919
Cercopithecidae	CONTROL	Papio_papio	Cercopithecus_roloway	17.5	4.55	0.859525942601832
Cercopithecidae	CONTROL	Papio_papio	Macaca_siberu	17.5	6.165	0.858146689507892
Cercopithecidae	CONTROL	Macaca_thibetana	Allenopithecus_nigroviridis	15.55	5.3	0.857983568841504
Cercopithecidae	CONTROL	Mandrillus_leucophaeus	Macaca_arctoides	20.375	10.3	0.856976325932789
Cercopithecidae	CONTROL	Theropithecus_gelada	Allenopithecus_nigroviridis	15.35	5.3	0.856899898260383
Cercopithecidae	CONTROL	Papio_anubis	Cercopithecus_lowei	16.65	3.9	0.856000138699907
Cercopithecidae	CONTROL	Papio_papio	Cercopithecus_mitis	17.5	4.89	0.85473719275383
Cercopithecidae	CONTROL	Macaca_thibetana	Macaca_assamensis	15.55	9	0.854717491990055
Cercopithecidae	CONTROL	Papio_cynocephalus	Macaca_mulatta	17.05	5.96	0.854476905780135
Cercopithecidae	CONTROL	Macaca_thibetana	Cercopithecus_pogonias	15.55	3.58	0.854061892041032
Cercopithecidae	CONTROL	Papio_papio	Cercopithecus_neglectus	17.5	5.74	0.853271777741961
Cercopithecidae	CONTROL	Macaca_thibetana	Cercopithecus_cephus	15.55	3.48	0.853001411408834
Cercopithecidae	CONTROL	Papio_cynocephalus	Cercopithecus_roloway	17.05	4.55	0.852678084164438
Cercopithecidae	CONTROL	Theropithecus_gelada	Chlorocebus_pygerythrus	15.35	4.665	0.851606990172249
Cercopithecidae	CONTROL	Macaca_thibetana	Macaca_silenus	15.55	7.5	0.851304973849341
Cercopithecidae	CONTROL	Macaca_thibetana	Macaca_nigra	15.55	7.68	0.851245135549214
Cercopithecidae	CONTROL	Papio_anubis	Macaca_mulatta	16.65	5.96	0.851097888897351
Cercopithecidae	CONTROL	Papio_anubis	Allochrocebus_preussi	16.65	4.525	0.850850476710379
Cercopithecidae	CONTROL	Papio_ursinus	Piliocolobus_kirkii	22.3	6.9	0.850618676097348
Cercopithecidae	CONTROL	Papio_cynocephalus	Cercopithecus_mitis	17.05	4.89	0.850459948142537
Cercopithecidae	CONTROL	Semnopithecus_schistaceus	Trachypithecus_laotum	17	7	0.850050742719339
Cercopithecidae	CONTROL	Mandrillus_sphinx	Trachypithecus_germaini	23.6	8.83	0.847983487308354
Cercopithecidae	CONTROL	Theropithecus_gelada	Cercopithecus_mona	15.35	4.05	0.847944572575776
Cercopithecidae	CONTROL	Papio_cynocephalus	Macaca_siberu	17.05	6.165	0.847249047154737
Cercopithecidae	CONTROL	Mandrillus_sphinx	Colobus_guereza	23.6	8.89	0.847125484238335
Cercopithecidae	CONTROL	Papio_anubis	Cercopithecus_diana	16.65	4.5	0.846396425902013
Cercopithecidae	CONTROL	Mandrillus_sphinx	Piliocolobus_tephrosceles	23.6	8.75	0.846018967739817
Cercopithecidae	CONTROL	Erythrocebus_patas	Miopithecus_ogouensis	9.45	1.25	0.845444171364364
Cercopithecidae	CONTROL	Papio_ursinus	Trachypithecus_laotum	22.3	7	0.845269143822109
Cercopithecidae	CONTROL	Theropithecus_gelada	Cercopithecus_lowei	15.35	3.9	0.845117623367708
