Trait	Species1	Species2	PatristicDistance	AbsDiff	AbsDiff_z	Nu	eNu
BodyMass_kg	Allenopithecus_nigroviridis	Galagoides_demidovii	32.808484	5.24	0.522242194885678	0.230670381645626	0.231
BodyMass_kg	Allenopithecus_nigroviridis	Gorilla_beringei	18.542996	124.7	12.428168263787	1	1
BodyMass_kg	Allenopithecus_nigroviridis	Gorilla_gorilla	18.542996	117.2	11.6806842062217	1	1
BodyMass_kg	Allenopithecus_nigroviridis	Hapalemur_alaotrensis	34.19071	4.06	0.404638036495392	0.173669379901146	0.17
BodyMass_kg	Allenopithecus_nigroviridis	Hapalemur_griseus	34.258265	4.477	0.446198150096027	0.197553044684146	0.197
BodyMass_kg	Allenopithecus_nigroviridis	Hapalemur_meridionalis	34.258265	4.34	0.432544107977833	0.186690404145933	0.173
BodyMass_kg	Allenopithecus_nigroviridis	Hapalemur_occidentalis	34.076252	4.3685	0.435384547396581	0.202215109057603	0.2
BodyMass_kg	Allenopithecus_nigroviridis	Hoolock_hoolock	15.51698	1.58	0.157469974793773	0.105272688146988	0.105
BodyMass_kg	Allenopithecus_nigroviridis	Hylobates_abbotti	17.502587	0.65	0.0647819516556662	0.041021190641798	0.042
BodyMass_kg	Allenopithecus_nigroviridis	Hylobates_agilis	17.439589	0.7	0.0697651787061021	0.0477646782973405	0.049
BodyMass_kg	Allenopithecus_nigroviridis	Hylobates_klossii	17.296584	0.5	0.0498322705043586	0.0342093472791182	0.032
BodyMass_kg	Allenopithecus_nigroviridis	Hylobates_lar	17.107791	0.34	0.0338859439429638	0.0229823709727363	0.018
BodyMass_kg	Allenopithecus_nigroviridis	Hylobates_muelleri	17.502587	0.0499999999999998	0.00498322705043584	0.00316291869754606	0.005
BodyMass_kg	Allenopithecus_nigroviridis	Indri_indri	28.584773	1.165	0.116109190275156	0.0601609295735527	0.07
BodyMass_kg	Allenopithecus_nigroviridis	Lagothrix_lagotricha	21.141053	1.85	0.184379400866127	0.108563993308482	0.114
BodyMass_kg	Allenopithecus_nigroviridis	Lemur_catta	31.534333	3.09	0.307963431716936	0.135679380758115	0.139
BodyMass_kg	Allenopithecus_nigroviridis	Leontocebus_fuscicolis	27.802658	4.97	0.495332768813325	0.248663755449241	0.252
BodyMass_kg	Allenopithecus_nigroviridis	Leontocebus_illigeri	27.802658	5.01	0.499319350453673	0.242642821459404	0.236
BodyMass_kg	Allenopithecus_nigroviridis	Leontocebus_nigricollis	27.592811	4.82	0.480383087662017	0.24316662626761	0.241
BodyMass_kg	Allenopithecus_nigroviridis	Leontopithecus_chrysomelas	26.768919	4.72	0.470416633561145	0.241926638491753	0.248
BodyMass_kg	Allenopithecus_nigroviridis	Leontopithecus_rosalia	26.768919	4.66	0.464436761100622	0.242594496567458	0.244
BodyMass_kg	Allenopithecus_nigroviridis	Lepilemur_ankaranensis	32.683002	4.54	0.452477016179576	0.208134417326814	0.206
BodyMass_kg	Allenopithecus_nigroviridis	Lepilemur_dorsalis	32.468679	4.505	0.448988757244271	0.204993541320272	0.198
BodyMass_kg	Allenopithecus_nigroviridis	Lepilemur_ruficaudatus	30.850719	4.52	0.450483725359402	0.209633509211385	0.209
BodyMass_kg	Allenopithecus_nigroviridis	Lepilemur_septentrionalis	32.683002	4.6725	0.465682567863231	0.208091915399271	0.201
BodyMass_kg	Allenopithecus_nigroviridis	Loris_lydekkerianus	39.570998	5.03	0.501312641273848	0.208182961759822	0.213
BodyMass_kg	Allenopithecus_nigroviridis	Loris_tardigradus	39.570998	5.11	0.509285804554545	0.211992326092402	0.222
BodyMass_kg	Allenopithecus_nigroviridis	Mico_argentatus	29.141215	4.95	0.49333947799315	0.249815048599773	0.25
BodyMass_kg	Allenopithecus_nigroviridis	Mico_humeralifer	28.800806	4.88	0.48636296012254	0.252027279714266	0.254
BodyMass_kg	Allenopithecus_nigroviridis	Microcebus_murinus	31.289336	5.24	0.522242194885678	0.247823508415426	0.239
