species	family	primate_group_code	primate_group
Callithrix_kuhlii	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Callithrix_penicillata	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Carlito_syrichta	Tarsiidae	TAR	Tarsiers
Cebuella_niveiventris	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Cebuella_pygmaea	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Cebus_aequatorialis	Cebidae	PLA	New World monkeys (Platyrrhini)
Cebus_albifrons	Cebidae	PLA	New World monkeys (Platyrrhini)
Cebus_brunneus	Cebidae	PLA	New World monkeys (Platyrrhini)
Cebus_capucinus	Cebidae	PLA	New World monkeys (Platyrrhini)
Cebus_cesarae	Cebidae	PLA	New World monkeys (Platyrrhini)
Cebus_cuscinus	Cebidae	PLA	New World monkeys (Platyrrhini)
Cebus_imitator	Cebidae	PLA	New World monkeys (Platyrrhini)
Cebus_kaapori	Cebidae	PLA	New World monkeys (Platyrrhini)
Cebus_leucocephalus	Cebidae	PLA	New World monkeys (Platyrrhini)
Cebus_malitiosus	Cebidae	PLA	New World monkeys (Platyrrhini)
Cebus_olivaceus	Cebidae	PLA	New World monkeys (Platyrrhini)
Cebus_unicolor	Cebidae	PLA	New World monkeys (Platyrrhini)
Cebus_versicolor	Cebidae	PLA	New World monkeys (Platyrrhini)
Cebus_yuracus	Cebidae	PLA	New World monkeys (Platyrrhini)
Tarsius_bancanus	Tarsiidae	TAR	Tarsiers
Cercocebus_agilis	Cercopithecidae	OWM	Old World monkeys
Cercocebus_atys	Cercopithecidae	OWM	Old World monkeys
Cercocebus_chrysogaster	Cercopithecidae	OWM	Old World monkeys
Cercocebus_galeritus	Cercopithecidae	OWM	Old World monkeys
Cercocebus_lunulatus	Cercopithecidae	OWM	Old World monkeys
Cercocebus_sanjei	Cercopithecidae	OWM	Old World monkeys
Cercocebus_torquatus	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_albogularis	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_ascanius	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_campbelli	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_cephus	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_denti	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_diana	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_doggetti	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_dryas	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_erythrogaster	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_erythrotis	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_hamlyni	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_kandti	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_lomamiensis	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_lowei	Cercopithecidae	OWM	Old World monkeys
Cercopithecus_mitis	Cercopithecidae	OWM	Old World monkeys
