species	family	primate_group_code	primate_group
Presbytis_melalophos	Cercopithecidae	OWM	Old World monkeys
Presbytis_mitrata	Cercopithecidae	OWM	Old World monkeys
Presbytis_natunae	Cercopithecidae	OWM	Old World monkeys
Presbytis_potenziani	Cercopithecidae	OWM	Old World monkeys
Presbytis_rubicunda	Cercopithecidae	OWM	Old World monkeys
Presbytis_sabana	Cercopithecidae	OWM	Old World monkeys
Presbytis_siamensis	Cercopithecidae	OWM	Old World monkeys
Presbytis_siberu	Cercopithecidae	OWM	Old World monkeys
Presbytis_sumatrana	Cercopithecidae	OWM	Old World monkeys
Presbytis_thomasi	Cercopithecidae	OWM	Old World monkeys
Procolobus_verus	Cercopithecidae	OWM	Old World monkeys
Prolemur_simus	Lemuridae	STR	Strepsirrhines
Propithecus_candidus	Indriidae	STR	Strepsirrhines
Propithecus_coquereli	Indriidae	STR	Strepsirrhines
Propithecus_coronatus	Indriidae	STR	Strepsirrhines
Propithecus_deckenii	Indriidae	STR	Strepsirrhines
Propithecus_diadema	Indriidae	STR	Strepsirrhines
Propithecus_edwardsi	Indriidae	STR	Strepsirrhines
Propithecus_perrieri	Indriidae	STR	Strepsirrhines
Propithecus_tattersalli	Indriidae	STR	Strepsirrhines
Propithecus_verreauxi	Indriidae	STR	Strepsirrhines
Pygathrix_cinerea	Cercopithecidae	OWM	Old World monkeys
Pygathrix_nemaeus	Cercopithecidae	OWM	Old World monkeys
Pygathrix_nigripes	Cercopithecidae	OWM	Old World monkeys
Rhinopithecus_avunculus	Cercopithecidae	OWM	Old World monkeys
Rhinopithecus_bieti	Cercopithecidae	OWM	Old World monkeys
Rhinopithecus_brelichi	Cercopithecidae	OWM	Old World monkeys
Rhinopithecus_roxellana	Cercopithecidae	OWM	Old World monkeys
Rhinopithecus_strykeri	Cercopithecidae	OWM	Old World monkeys
Rungwecebus_kipunji	Cercopithecidae	OWM	Old World monkeys
Saguinus_bicolor	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Saguinus_geoffroyi	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Saguinus_imperator	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Saguinus_inustus	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Saguinus_labiatus	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Saguinus_leucopus	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Saguinus_martinsi	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Saguinus_midas	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Saguinus_mystax	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Saguinus_niger	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Saguinus_oedipus	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Saguinus_ursulus	Callitrichidae	PLA	New World monkeys (Platyrrhini)
Saimiri_boliviensis	Cebidae	PLA	New World monkeys (Platyrrhini)
Saimiri_cassiquiarensis	Cebidae	PLA	New World monkeys (Platyrrhini)
Saimiri_collinsi	Cebidae	PLA	New World monkeys (Platyrrhini)
Saimiri_macrodon	Cebidae	PLA	New World monkeys (Platyrrhini)
Saimiri_oerstedii	Cebidae	PLA	New World monkeys (Platyrrhini)
Saimiri_sciureus	Cebidae	PLA	New World monkeys (Platyrrhini)
Saimiri_ustus	Cebidae	PLA	New World monkeys (Platyrrhini)
Saimiri_vanzolinii	Cebidae	PLA	New World monkeys (Platyrrhini)
Sapajus_apella	Cebidae	PLA	New World monkeys (Platyrrhini)
Sapajus_cay	Cebidae	PLA	New World monkeys (Platyrrhini)
Sapajus_flavius	Cebidae	PLA	New World monkeys (Platyrrhini)
Sapajus_libidinosus	Cebidae	PLA	New World monkeys (Platyrrhini)
Sapajus_macrocephalus	Cebidae	PLA	New World monkeys (Platyrrhini)
Sapajus_nigritus	Cebidae	PLA	New World monkeys (Platyrrhini)
Sapajus_robustus	Cebidae	PLA	New World monkeys (Platyrrhini)
Sapajus_xanthosternos	Cebidae	PLA	New World monkeys (Platyrrhini)
Sciurocheirus_alleni	Galagidae	STR	Strepsirrhines
Sciurocheirus_cameronensis	Galagidae	STR	Strepsirrhines
Sciurocheirus_gabonensis	Galagidae	STR	Strepsirrhines
Sciurocheirus_makandensis	Galagidae	STR	Strepsirrhines
Semnopithecus_ajax	Cercopithecidae	OWM	Old World monkeys
Semnopithecus_entellus	Cercopithecidae	OWM	Old World monkeys
Semnopithecus_hector	Cercopithecidae	OWM	Old World monkeys
Semnopithecus_hypoleucos	Cercopithecidae	OWM	Old World monkeys
Semnopithecus_johnii	Cercopithecidae	OWM	Old World monkeys
Semnopithecus_priam	Cercopithecidae	OWM	Old World monkeys
Semnopithecus_schistaceus	Cercopithecidae	OWM	Old World monkeys
Semnopithecus_vetulus	Cercopithecidae	OWM	Old World monkeys
Simias_concolor	Cercopithecidae	OWM	Old World monkeys
Symphalangus_syndactylus	Hylobatidae	APE	Apes
Tarsius_dentatus	Tarsiidae	TAR	Tarsiers
Tarsius_fuscus	Tarsiidae	TAR	Tarsiers
Tarsius_lariang	Tarsiidae	TAR	Tarsiers
Tarsius_pelengensis	Tarsiidae	TAR	Tarsiers
Tarsius_pumilus	Tarsiidae	TAR	Tarsiers
Tarsius_sangirensis	Tarsiidae	TAR	Tarsiers
Tarsius_spectrumgurskyae	Tarsiidae	TAR	Tarsiers
Tarsius_supriatnai	Tarsiidae	TAR	Tarsiers
Tarsius_tarsier	Tarsiidae	TAR	Tarsiers
Tarsius_tumpara	Tarsiidae	TAR	Tarsiers
Tarsius_wallacei	Tarsiidae	TAR	Tarsiers
Theropithecus_gelada	Cercopithecidae	OWM	Old World monkeys
Trachypithecus_auratus	Cercopithecidae	OWM	Old World monkeys
Trachypithecus_barbei	Cercopithecidae	OWM	Old World monkeys
Trachypithecus_crepusculus	Cercopithecidae	OWM	Old World monkeys
Trachypithecus_cristatus	Cercopithecidae	OWM	Old World monkeys
Trachypithecus_delacouri	Cercopithecidae	OWM	Old World monkeys
Trachypithecus_ebenus	Cercopithecidae	OWM	Old World monkeys
Trachypithecus_francoisi	Cercopithecidae	OWM	Old World monkeys
Trachypithecus_geei	Cercopithecidae	OWM	Old World monkeys
Trachypithecus_germaini	Cercopithecidae	OWM	Old World monkeys
Trachypithecus_hatinhensis	Cercopithecidae	OWM	Old World monkeys
Trachypithecus_laotum	Cercopithecidae	OWM	Old World monkeys
Trachypithecus_leucocephalus	Cercopithecidae	OWM	Old World monkeys
Trachypithecus_margarita	Cercopithecidae	OWM	Old World monkeys
Trachypithecus_mauritius	Cercopithecidae	OWM	Old World monkeys
Trachypithecus_obscurus	Cercopithecidae	OWM	Old World monkeys
Trachypithecus_phayrei	Cercopithecidae	OWM	Old World monkeys
Trachypithecus_pileatus	Cercopithecidae	OWM	Old World monkeys
Trachypithecus_poliocephalus	Cercopithecidae	OWM	Old World monkeys
Trachypithecus_selangorensis	Cercopithecidae	OWM	Old World monkeys
Trachypithecus_shortridgei	Cercopithecidae	OWM	Old World monkeys
Varecia_rubra	Lemuridae	STR	Strepsirrhines
Varecia_variegata	Lemuridae	STR	Strepsirrhines
